related_to,name,for_,for_medium,for_long,link,link_citation,link_explanation,cite_as,copyright,,,,,,,,,,,,,
strobe-cohort,RECORD,observational studies using routinely collected health data,This an extension to the STROBE statement including items specifically related to observational studies using routinely collected health data,"A large amount of health data are routinely collected for administrative and clinical purposes and are increasingly being used in research studies.  This type of data includes health administrative data, electronic medical record data, primary care surveillance data, and disease registries",https://www.equator-network.org/reporting-guidelines/record/,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001885,,"Benchimol EI, Smeeth L, Guttmann A, Harron K, Moher D, Petersen I, Sørensen HT, von Elm E, Langan SM; RECORD Working Committee. The REporting of studies Conducted using Observational Routinely-collected health Data (RECORD) Statement. PLoS Med. 2015;12(10):e1001885.",The STROBE-RECORD checklist is distributed under the terms of the Creative Commons Attribution License CC-BY,,,,,,,PLOS Medicine,PLOS ,2015 Benchimol et al.,,,,
CONSORT,CONSORT-ACE,randomised adaptive design (AD) clinical trials,The ACE checklist includes new and modified items from the CONSORT checklist for randomised trials,Adaptive designs (ADs) allow pre-planned changes to an ongoing trial without compromising the validity of conclusions. It is essential to distinguish pre-planned from unplanned changes that may also occur.,https://www.equator-network.org/reporting-guidelines/the-adaptive-designs-consort-extension-ace-statement/,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-020-04334-x,,"Dimairo M, Pallmann P, Wason J, Todd S, Jaki T, Julious SA, Mander AP, Weir CJ, Koenig F, Walton MK, Nicholl JP, Coates E, Biggs K, Hamasaki T, Proschan MA, Scott JA, Ando Y, Hind D, Altman DG; ACE Consensus Group. The adaptive designs CONSORT extension (ACE) statement: a checklist with explanation and elaboration guideline for reporting randomised trials that use an adaptive design.",The CONSORT-ACE checklist is distributed under the terms of the Creative Commons Attribution License CC-BY,,,,,,,BMJ,BMJ,"2020, British Medical Journal Publishing Group",as main paper,as main paper,as main paper,as main paper
CONSORT,CONSORT-CENT,individual and series of N-of-1 trials,CENT provides additional guidance for 14 of the 25 items of the CONSORT checklist for randomised trials,"N-of-1 trials provide a mechanism for making evidence based treatment decisions for an individual patient. They use key methodological elements of group clinical trials to evaluate treatment effectiveness in a single patient, for situations that cannot always accommodate large scale trials: rare diseases, comorbid conditions, or in patients using concurrent therapies.",https://www.equator-network.org/reporting-guidelines/consort-cent/,https://www.bmj.com/content/350/bmj.h1738.long,https://pubmed.ncbi.nlm.nih.gov/25976162/,"Vohra S, Shamseer L, Sampson M, Bukutu C, Schmid CH, Tate R, Nikles J, Zucker DR, Kravitz R, Guyatt G, Altman DG, Moher D; CENT group. CONSORT extension for reporting N-of-1 trials (CENT) 2015 Statement. BMJ. 2015;350:h1738",The CONSORT-CENT checklist is distributed under the terms of the Creative Commons Attribution License CC-BY-NC,,,,,,,BMJ,BMJ,"2015, British Medical Journal Publishing Group",BMJ,BMJ Publishing Group,"2015, British Medical Journal Publishing Group","Shamseer L, Sampson M, Bukutu C, Schmid CH, Nikles J, Tate R, Johnston BC, Zucker D, Shadish WR, Kravitz R, Guyatt G, Altman DG, Moher D, Vohra S; CENT group. CONSORT extension for reporting N-of-1 trials (CENT) 2015: Explanation and elaboration. BMJ. 2015;350:h1793. PMID: 25976162"
CONSORT,CONSORT-PILOT,pilot and feasibility studies,This checkist provides additional guidance for reporting randomised pilot and feasibility trials conducted in advance of a future definitive randomised controlled trial.,"The aims and objectives of pilot and feasibility randomised studies differ from those of other randomised trials, although much of the information  is similar,  there are some key differences in the type of information to be reported.  This checklist retains some of the original CONSORT items, but most have been adapted, some removed, and new items added.",https://www.equator-network.org/reporting-guidelines/consort-2010-statement-extension-to-randomised-pilot-and-feasibility-trials/,https://pilotfeasibilitystudies.biomedcentral.com/articles/10.1186/s40814-016-0105-8,,"Eldridge SM, Chan CL, Campbell MJ, Bond CM, Hopewell S, Thabane L, Lancaster GA; on behalf of the PAFS consensus group. CONSORT 2010 statement: extension to randomised pilot and feasibility trials.",The CONSORT-PILOT checklist is distributed under the terms of the Creative Commons Attribution License CC-BY,,,,,,,multiple,multiple,"2016, Springer Nature",,,,
CONSORT,CONSORT-CROSS,crossover randomised trials,The CONSORT checklist for parallel trials has been revised to report a crossover design,Crossover trials are a particular type of trial for chronic conditions in which participants are randomised to a sequence of interventions. They are a useful and efficient design because participants act as their own control.,https://www.equator-network.org/reporting-guidelines/consort-2010-statement-extension-to-randomised-crossover-trials/,https://www.bmj.com/content/366/bmj.l4378.long,,"Dwan K, Li T, Altman DG, Elbourne D. CONSORT 2010 statement: extension to randomised crossover trials. BMJ. 2019;366:l4378.",The CONSORT-CROSS checklist is distributed under the terms of the Creative Commons Attribution License CC-BY-NC,,,,,,,BMJ,BMJ,"2019, British Medical Journal Publishing Group",as main paper,as main paper,as main paper,as main paper
CONSORT,CONSORT-SW-CRT,stepped wedge cluster randomised trials,"This checklist includes some unmodified items from CONSORT, some modified, and some are new",The Stepped Wedge cluster randomised trial  is an increasingly popular study design which involves randomisation of clusters to different sequences that dictate the order (or timing) at which each cluster will switch to the intervention condition. The statement was developed to allow for the unique characteristics of this increasingly used study design,https://www.equator-network.org/reporting-guidelines/reporting-of-stepped-wedge-cluster-randomised-trials-extension-of-the-consort-2010-statement-with-explanation-and-elaboration/,https://www.bmj.com/content/363/bmj.k1614.long,,"Hemming K, Taljaard M, McKenzie JE, Hooper R, Copas A, Thompson JA, Dixon-Woods M, Aldcroft A, Doussau A, Grayling M, Kristunas C, Goldstein CE, Campbell MK, Girling A, Eldridge S, Campbell MJ, Lilford RJ, Weijer C, Forbes AB, Grimshaw JM. Reporting of stepped wedge cluster randomised trials: extension of the CONSORT 2010 statement with explanation and elaboration. BMJ. 2018;363:k1614.",The CONSORT-SW-CRT checklist is distributed under the terms of the Creative Commons Attribution License CC-BY-NC,,,,,,,BMJ,BMJ,"2018, British Medical Journal Publishing Group",as main paper,as main paper,as main paper,as main paper
CONSORT,CONSORT-WP,within person randomised trials,The checklist extends 16 items of the CONSORT 2010 checklist and a modified flowchart and baseline table,"Within person trials are used for conditions that can affect two or more body sites, and are a useful and efficient tool because the comparisons between interventions are within people. Such trials are most commonly conducted in ophthalmology, dentistry, and dermatology. ",https://www.equator-network.org/reporting-guidelines/consort-within-person-randomised-trials/,https://www.bmj.com/content/357/bmj.j2835.long,,"Pandis N, Chung B, Scherer RW, Elbourne D, Altman DG. CONSORT 2010 statement: extension checklist for reporting within person randomised trials.",The CONSORT-WP checklist is distributed under the terms of the Creative Commons Attribution License CC-BY-NC,,,,,,,BMJ,BMJ,"2017, British Medical Journal Publishing Group",as main paper,as main paper,as main paper,as main paper
strobe-cohort,STROBE-NUT,observational studies in nutritional epidemiology,This checklist is an extension of STROBE statement for reporting observational research,"Nutritional epidemiology examines the relationship between diet and health in human populations. The assessment of diet is, however, complex and suffers from considerable measurement error. As a consequence, concerns have been raised about epidemiological research regarding diet and human health. Many systematic reviews have reported a lack of methodological details (e.g., recruitment, dropout, compliance, statistical methods, and dietary intake assessment) ",https://www.equator-network.org/reporting-guidelines/strobe-nut/,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002036,https://pubmed.ncbi.nlm.nih.gov/28916567/,"Lachat C, Hawwash D, Ocké MC, Berg C, Forsum E, Hörnell A, Larsson C, Sonestedt E, Wirfält E, Åkesson A, Kolsteren P, Byrnes G, De Keyzer W, Van Camp J, Cade JE, Slimani N, Cevallos M, Egger M, Huybrechts I. Strengthening the Reporting of Observational Studies in Epidemiology-Nutritional Epidemiology (STROBE-nut): An Extension of the STROBE Statement.",The STROBE-NUT checklist is distributed under the terms of the Creative Commons Attribution License CC-BY,,,,,,,multiple,multiple,2016 Lachat et a,Advances in Nutrition,Oxford University Press,"2017, Oxford University Press","Hörnell A, Berg C, Forsum E, Larsson C, Sonestedt E, Åkesson A, Lachat C, Hawwash D, Kolsteren P, Byrnes G, De Keyzer W, Van Camp J, Cade JE, Greenwood DC, Slimani N, Cevallos M, Egger M, Huybrechts I, Wirfält E. Perspective: An Extension of the STROBE Statement for Observational Studies in Nutritional Epidemiology (STROBE-nut): Explanation and Elaboration. Adv Nutr. 2017;8(5):652-678. PMID: 28916567 "
CONSORT,CONSORT-SPI,randomised controlled trials (RCTs) of social and psychological interventions.,This checklist is an extension of CONSORT with modified and additional items for reporting trials of social and psychological intereventions,"Social and psychological interventions are actions intended to modify processes and systems that are social and psychological in nature (such as cognitions, emotions, behaviours, norms, relationships, and salient aspects of the environment) and are hypothesised to be influences on outcomes of interest. Social and psychological interventions can be complex in several ways. For example, these interventions cover an assortment of coordinated actions—such as practices, programmes, and policies—that often involve multiple interacting components. The units targeted by these interventions may include individuals, groups, or even places, and outcomes may be measured at any of these levels. The behaviours of both providers and recipients must be understood if the intervention and its effects are to be understood. Social and psychological interventions may not follow strictly standardised implementation procedures, and effects may depend on aspects of the hard-to-control dynamic systems in which they occur. For these reasons, readers of social and psychological intervention research are interested in more than just effect estimates—they require information about how and why these interventions work, for whom, and under what conditions.",https://www.equator-network.org/reporting-guidelines/consort-spi/,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-018-2733-1,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-018-2735-z,"Montgomery P, Grant S, Mayo-Wilson E, Macdonald G, Michie S, Hopewell S, Moher D; on behalf of the CONSORT-SPI Group. Reporting randomised trials of social and psychological interventions: the CONSORT-SPI 2018 Extension. Trials. 2018;19:407.",The CONSORT-SPI checklist is distributed under the terms of the Creative Commons Attribution License CC-BY,,,,,,,Trials,Springer Nature,"2018, Springer Nature",BMC Trials,Springer Nature,"2018, Springer Nature","Grant S, Mayo-Wilson E, Montgomery P, Macdonald G, Michie S, Hopewell S, Moher D; on behalf of the CONSORT-SPI Group. CONSORT-SPI 2018 Explanation and Elaboration: guidance for reporting social and psychological intervention trials. Trials. 2018;19(1):406. PMID: 30060763"
PRISMA,PRISMA-EQUITY,systematic reviews with a focus on health equity,This checklist is an extenstion of the PRISMA statement for reporting systematic reviews and meta-analyses,"Health equity is defined as the absence of avoidable and unfair inequalities in health. The moral judgment of fairness involves an ethical debate about freedom, capabilities, and opportunities with consideration of context. Rigorous scientific measurement and evaluation of the effects of policies on health equity is necessary to meet the goals of the World Health Organization Commission on Social Determinants of Health (WHO CSDH). Studies of the average effects of interventions, which control for confounding across individual and population-level characteristics, hide their impact on health equity. Using average effects to guide policy may even result in increases in health inequalities despite good intentions, as shown by an assessment of the impacts of country-level efforts in child health. Well-designed, scientific evaluations that assess effects on health equity are needed to break the poverty trap. Systematic reviews are promoted as a useful and comprehensive source of evidence for decision making but need to include evidence about health equity to be useful to policy makers in areas where there is health inequity.",https://www.equator-network.org/reporting-guidelines/prisma-equity/,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001333,https://equityhealthj.biomedcentral.com/articles/10.1186/s12939-015-0219-2,"Welch V, Petticrew M, Tugwell P, Moher D, O'Neill J, Waters E, White H; PRISMA-Equity Bellagio group. PRISMA-Equity 2012 Extension: Reporting Guidelines for Systematic Reviews with a Focus on Health Equity. PLoS Med. 2012;9(10): e1001333.",The PRISMA-EQUITY checklist is distributed under the terms of the Creative Commons Attribution License CC-BY,,,,,,,PLOS Medicine,PLOS,2012 Welch et al,multiple,multiple,"2015, Springer Nature","Welch V, Petticrew M, Petkovic J, Moher D, Waters E, White H, Tugwell P; PRISMA-Equity Bellagio group. Extending the PRISMA statement to equity-focused systematic reviews (PRISMA-E 2012): explanation and elaboration."
