ID,title,study_design,clinical_specialty,report_section,taxonomy_term,keyword,implementation,full_bibliographic_reference,authors,journal_title,year,volume,issue,page_numbers,date_of_publication,language,doi,pmid_id,pmid_url,relevant_urls,explanation_and_elaboration_papers,guideline_history,relevant_more,website_url,acronym,provided_for,additional_languages,additional_information,relevant_editorials,primary_guideline,other,other_relevant_research,equator_comments,sticky,date_of_entry,date_last_updated,slug,scraped_data
22449,Reporting guideline for Chatbot Health Advice studies: the CHART statement,Artificial intelligence/Machine learning studies, ,Whole report, , , ,"Huo B, Collins G, Chartash D, Thirunavukarasu A, Flanagin A, Iorio A, Cacciamani G, Chen X, Liu N, Mathur P, Chan AW, Laine C, Pacella D, Berkwits M, Antoniou SA, Camaradou JC, Canfield C, Mittelman M, Feeney T, Loder E, Agha R, Saha A, Mayol J, Sunjaya A, Harvey H, Ng JY, McKechnie T, Lee Y, Verma N, Stiglic G, McCradden M, Ramji K, Boudreau V, Ortenzi M, Meerpohl J, Vandvik PO, Agoritsas T, Samuel D, Frankish H, Anderson M, Yao X, Loeb S, Lokker C, Liu X, Guallar E, Guyatt G. Reporting guideline for Chatbot Health Advice studies: the CHART statement.

This guideline was published simultaneously in 6 journals. You can read the guideline in any of these journals using the links below.

Annals of Family Medicine: PMID 40750305
Artificial Intelligence in Medicine: PMID 40753040
BMC Medicine: PMID 40745595
BMJ Medicine: PMID 40761518
British Journal of Surgery: PMID 40747825
JAMA Network Open: PMID 40747871

","Huo B, Collins G, Chartash D, Thirunavukarasu A, Flanagin A, Iorio A, Cacciamani G, Chen X, Liu N, Mathur P, Chan AW, Laine C, Pacella D, Berkwits M, Antoniou SA, Camaradou JC, Canfield C, Mittelman M, Feeney T, Loder E, Agha R, Saha A, Mayol J, Sunjaya A, Harvey H, Ng JY, McKechnie T, Lee Y, Verma N, Stiglic G, McCradden M, Ramji K, Boudreau V, Ortenzi M, Meerpohl J, Vandvik PO, Agoritsas T, Samuel D, Frankish H, Anderson M, Yao X, Loeb S, Lokker C, Liu X, Guallar E, Guyatt G", , , , , , ,English, , , , ,"CHART Collaborative. Reporting guidelines for chatbot health advice studies: explanation and elaboration for the Chatbot Assessment Reporting Tool (CHART). BMJ. 2025; 390: e083305. PMID: 40750271

", , , ,CHART,Reporting recommendations for studies evaluating the performance of generative artificial intelligence (AI)-driven chatbots when summarizing clinical evidence and providing health advice., , , , , , , ,no,2025-08-02 20:57:02,2025-08-06 17:49:29,reporting-guideline-for-chatbot-health-advice-studies-the-chart-statement,"[('title', 'Reporting guideline for Chatbot Health Advice studies: the CHART statement'), ('Reporting guideline provided for?\n\n(i.e. exactly what the authors state in the paper)', 'Reporting recommendations for studies evaluating the performance of generative artificial intelligence (AI)-driven chatbots when summarizing clinical evidence and providing health advice.'), ('Full bibliographic reference', 'Huo B, Collins G, Chartash D, Thirunavukarasu A, Flanagin A, Iorio A, Cacciamani G, Chen X, Liu N, Mathur P, Chan AW, Laine C, Pacella D, Berkwits M, Antoniou SA, Camaradou JC, Canfield C, Mittelman M, Feeney T, Loder E, Agha R, Saha A, Mayol J, Sunjaya A, Harvey H, Ng JY, McKechnie T, Lee Y, Verma N, Stiglic G, McCradden M, Ramji K, Boudreau V, Ortenzi M, Meerpohl J, Vandvik PO, Agoritsas T, Samuel D, Frankish H, Anderson M, Yao X, Loeb S, Lokker C, Liu X, Guallar E, Guyatt G. Reporting guideline for Chatbot Health Advice studies: the CHART statement.\n\n \n\n This guideline was published simultaneously in 6 journals. You can read the guideline in any of these journals using the links below.\n\n \n\n[Annals of Family Medicine](https://www.annfammed.org/content/early/2025/07/29/afm.250386): [PMID 40750305](https://pubmed.ncbi.nlm.nih.gov/40750305/)\n\n[Artificial Intelligence in Medicine](https://www.sciencedirect.com/science/article/pii/S0933365725001575): [PMID 40753040](https://pubmed.ncbi.nlm.nih.gov/40753040/)\n\n[BMC Medicine](https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-025-04274-w): [PMID 40745595](https://pubmed.ncbi.nlm.nih.gov/40745595/)\n\n[BMJ Medicine](https://bmjmedicine.bmj.com/content/4/1/e001632): [PMID 40761518](https://pubmed.ncbi.nlm.nih.gov/40761518/)\n\n[British Journal of Surgery](https://academic.oup.com/bjs/article/112/8/znaf142/8220472): [PMID 40747825](https://pubmed.ncbi.nlm.nih.gov/40747825/)\n\n[JAMA Network Open](https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2837224): [PMID 40747871](https://pubmed.ncbi.nlm.nih.gov/40747871/)\n\n \n\n'), ('Language', 'English'), ('Explanation and elaboration papers', 'CHART Collaborative. Reporting guidelines for chatbot health advice studies: explanation and elaboration for the Chatbot Assessment Reporting Tool (CHART). BMJ. 2025; 390: e083305. PMID: [40750271](https://pubmed.ncbi.nlm.nih.gov/40750271/)\n\n \n\n'), ('Reporting guideline acronym', 'CHART'), ('Study design', 'Artificial intelligence/Machine learning studies'), ('Applies to the whole report or to individual sections of the report?', 'Whole report'), ('Record last updated on', 'August 6, 2025')]"
22445,ELEVATE-GenAI,"Artificial intelligence/Machine learning studies, Economic evaluations", ,Whole report, , , ,"Fleurence RL, Dawoud D, Bian J, Higashi MK, Wang X, Xu H, Chhatwal J, Ayer T; ISPOR Working Group on Generative AI. ELEVATE-GenAI: Reporting Guidelines for the Use of Large Language Models in Health Economics and Outcomes Research: an ISPOR Working Group on Generative AI Report. Value Health. 2025","Fleurence RL, Dawoud D, Bian J, Higashi MK, Wang X, Xu H, Chhatwal J, Ayer T",Value Health,2025, , , , ,English,10.1016/j.jval.2025.06.018,40653157,https://pubmed.ncbi.nlm.nih.gov/40653157/, , , , , ,ELEVATE-GenAI,Structured guidance for reporting research using large language models (LLMs) in Health Economics and Outcomes Research, , , ,Read the full text of ELEVATE-GenAI., , , ,no,2025-07-31 19:52:49,2025-07-31 19:52:49,elevate-genai,"[('title', 'ELEVATE-GenAI'), ('Reporting guideline provided for?\n\n(i.e. exactly what the authors state in the paper)', 'Structured guidance for reporting research using large language models (LLMs) in Health Economics and Outcomes Research'), ('Full bibliographic reference', 'Fleurence RL, Dawoud D, Bian J, Higashi MK, Wang X, Xu H, Chhatwal J, Ayer T; ISPOR Working Group on Generative AI. ELEVATE-GenAI: Reporting Guidelines for the Use of Large Language Models in Health Economics and Outcomes Research: an ISPOR Working Group on Generative AI Report. Value Health. 2025'), ('Language', 'English'), ('DOI', '10.1016/j.jval.2025.06.018'), ('PubMed ID', '[40653157](https://pubmed.ncbi.nlm.nih.gov/40653157/)'), ('Primary guideline publication', 'Read the full text of [ELEVATE-GenAI](https://www.sciencedirect.com/science/article/abs/pii/S1098301525024556).'), ('Reporting guideline acronym', 'ELEVATE-GenAI'), ('Study design', 'Artificial intelligence/Machine learning studies, Economic evaluations'), ('Applies to the whole report or to individual sections of the report?', 'Whole report'), ('Record last updated on', 'July 31, 2025')]"
22443,The LEADING guideline,Observational studies,Psychiatry,Whole report, , , ,"Eijsbroek VC, Kjell K, Schwartz HA, Boehnke JR, Fried EI, Klein DN, Gustafsson P, Augenstein I, Bossuyt PMM, Kjell ONE. The LEADING guideline: Reporting standards for expert panel, best-estimate diagnosis, and longitudinal expert all data (LEAD) methods. Compr Psychiatry. 2025; 141: 152603","Eijsbroek VC, Kjell K, Schwartz HA, Boehnke JR, Fried EI, Klein DN, Gustafsson P, Augenstein I, Bossuyt PMM, Kjell ONE.",Compr Psychiatry,2025,141, ,152603, ,English,10.1016/j.comppsych.2025.152603,40479924,https://pubmed.ncbi.nlm.nih.gov/40479924/,A reporting template can be found on the LEADING project website., , , ,https://www.leading-guideline.org,LEADING,"Reporting standards for expert panel, best-estimate diagnosis, and longitudinal expert all data methods.", , , ,Read the full text of the paper., , , ,no,2025-07-31 09:23:46,2025-07-31 09:23:46,the-leading-guideline,"[('title', 'The LEADING guideline'), ('Reporting guideline provided for?\n\n(i.e. exactly what the authors state in the paper)', 'Reporting standards for expert panel, best-estimate diagnosis, and longitudinal expert all data methods.'), ('Full bibliographic reference', 'Eijsbroek VC, Kjell K, Schwartz HA, Boehnke JR, Fried EI, Klein DN, Gustafsson P, Augenstein I, Bossuyt PMM, Kjell ONE. The LEADING guideline: Reporting standards for expert panel, best-estimate diagnosis, and longitudinal expert all data (LEAD) methods. Compr Psychiatry. 2025; 141: 152603'), ('Language', 'English'), ('DOI', '10.1016/j.comppsych.2025.152603'), ('PubMed ID', '[40479924](https://pubmed.ncbi.nlm.nih.gov/40479924/)'), ('Relevant URLs\n\n(full-text if available)', 'A reporting template can be found on the LEADING project [website](https://www.leading-guideline.org/).'), ('Primary guideline publication', 'Read the full text of the [paper](https://www.sciencedirect.com/science/article/pii/S0010440X25000318).'), ('Reporting guideline website URL', '<https://www.leading-guideline.org>'), ('Reporting guideline acronym', 'LEADING'), ('Study design', 'Observational studies'), ('Clinical area', 'Psychiatry'), ('Applies to the whole report or to individual sections of the report?', 'Whole report'), ('Record last updated on', 'July 31, 2025')]"
22433,Reporting guideline for the use of Generative Artificial intelligence tools in MEdical Research: the GAMER Statement,Artificial intelligence/Machine learning studies, ,Whole report, , , ,"Luo X, Tham YC, Giuffr\xe8 M, Ranisch R, Daher M, Lam K, Eriksen AV, Hsu CW, Ozaki A, Moraes FY, Khanna S, Su KP, Begagi? E, Bian Z, Chen Y, Estill J; GAMER Working Group. Reporting guideline for the use of Generative Artificial intelligence tools in MEdical Research: the GAMER Statement. BMJ Evid Based Med. 2025 May 13:bmjebm-2025-113825.","Luo X, Tham YC, Giuffr\xe8 M, Ranisch R, Daher M, Lam K, Eriksen AV, Hsu CW, Ozaki A, Moraes FY, Khanna S, Su KP, Begagi? E, Bian Z, Chen Y, Estill J;",BMJ Evid Based Med,2025, , , , , ,10.1136/bmjebm-2025-113825,40360239,https://pubmed.ncbi.nlm.nih.gov/40360239/, , , , , ,GAMER,Standardised guideline for generative artificial intelligence use in medical research,The GAMER Checklist is available in Chinese., , ,Read the full text of GAMER., , , ,no,2025-07-28 19:04:19,2025-07-28 19:08:03,reporting-guideline-for-the-use-of-generative-artificial-intelligence-tools-in-medical-research-the-gamer-statement,"[('title', 'Reporting guideline for the use of Generative Artificial intelligence tools in MEdical Research: the GAMER Statement'), ('Reporting guideline provided for?\n\n(i.e. exactly what the authors state in the paper)', 'Standardised guideline for generative artificial intelligence use in medical research'), ('Full bibliographic reference', 'Luo X, Tham YC, Giuffrè M, Ranisch R, Daher M, Lam K, Eriksen AV, Hsu CW, Ozaki A, Moraes FY, Khanna S, Su KP, Begagić E, Bian Z, Chen Y, Estill J; GAMER Working Group. Reporting guideline for the use of Generative Artificial intelligence tools in MEdical Research: the GAMER Statement. BMJ Evid Based Med. 2025 May 13:bmjebm-2025-113825.'), ('DOI', '10.1136/bmjebm-2025-113825'), ('PubMed ID', '[40360239](https://pubmed.ncbi.nlm.nih.gov/40360239/)'), ('Primary guideline publication', 'Read the full text of [GAMER](https://ebm.bmj.com/content/early/2025/05/13/bmjebm-2025-113825.long).'), ('Availability in additional languages', 'The GAMER Checklist is available in [Chinese](https://www.equator-network.org/wp-content/uploads/2025/07/GAMER-checklist-Chinese-version.docx).'), ('Reporting guideline acronym', 'GAMER'), ('Study design', 'Artificial intelligence/Machine learning studies'), ('Applies to the whole report or to individual sections of the report?', 'Whole report'), ('Record last updated on', 'July 28, 2025')]"
22414,Reporting guidelines for tear fluid research,"Experimental studies, Observational studies",Ophthalmology,Whole report, , , ,"Schmeetz J, van de Sande N, Rojas-Carabali W, Mergen B, Bonnet C, Boychev N, Cifuentes-Gonz\xe1lez C, Kessal K, Brignole-Baudouin F, Asbell P, Kilicaslan NA, Lengyel I, Ibanez IC, Agrawal R, Gijs M. International reporting guidelines for tear fluid research: A Delphi consensus. Cont Lens Anterior Eye 2025 [doi: 10.1016/j.clae.2025.102448]","Schmeetz J, van de Sande N, Rojas-Carabali W, Mergen B, Bonnet C, Boychev N, Cifuentes-Gonz\xe1lez C, Kessal K, Brignole-Baudouin F, Asbell P, Kilicaslan NA, Lengyel I, Ibanez IC, Agrawal R, Gijs M",Cont Lens Anterior Eye,2025, , , , , ,10.1016/j.clae.2025.102448,40484775, ,"Read the full text of the guideline.

The checklists can be downloaded TEAR-Reporting Guidelines.", , , , , ,Reporting guidelines for tear fluid research, , , , , , , ,no,2025-07-11 09:44:35,2025-07-11 09:44:35,reporting-guidelines-for-tear-fluid-research,"[('title', 'Reporting guidelines for tear fluid research'), ('Reporting guideline provided for?\n\n(i.e. exactly what the authors state in the paper)', 'Reporting guidelines for tear fluid research'), ('Full bibliographic reference', 'Schmeetz J, van de Sande N, Rojas-Carabali W, Mergen B, Bonnet C, Boychev N, Cifuentes-González C, Kessal K, Brignole-Baudouin F, Asbell P, Kilicaslan NA, Lengyel I, Ibanez IC, Agrawal R, Gijs M. International reporting guidelines for tear fluid research: A Delphi consensus. Cont Lens Anterior Eye 2025 [doi: 10.1016/j.clae.2025.102448]'), ('DOI', '10.1016/j.clae.2025.102448'), ('PubMed ID', '40484775'), ('Relevant URLs\n\n(full-text if available)', 'Read the full text of the [guideline](https://linkinghub.elsevier.com/retrieve/pii/S1367-0484(25)00082-7).\n\n \n\n The checklists can be downloaded [TEAR-Reporting Guidelines](https://www.equator-network.org/wp-content/uploads/2025/07/TEAR-Reporting-Guidelines.pdf).'), ('Study design', 'Experimental studies, Observational studies'), ('Clinical area', 'Ophthalmology'), ('Applies to the whole report or to individual sections of the report?', 'Whole report'), ('Record last updated on', 'July 11, 2025')]"
22367,DID-METAB Checklist,Observational studies,Nutrition and dietetics,Whole report, , , ,"Ferguson JJA, Clarke ED, Stanford J, G\xf3mez-Mart\xedn M, Jakstas T, Collins CE; DID?METAB Delphi Working Group Authors. Strengthening the reporting of diet item details in feeding studies measuring the dietary metabolome: The DID-METAB core outcome set statement. Eur J Clin Invest. 2025l; 55:e70030.","Ferguson JJA, Clarke ED, Stanford J, G\xf3mez-Mart\xedn M, Jakstas T, Collins CE",Eur J Clin Invest,2025,55,7,e70030,2025,English,10.1111/eci.70030,40189732,https://pubmed.ncbi.nlm.nih.gov/40189732/,"Read the full text of DID-METAB. The checklist is in Table 1 of the paper.

Read the full text of the Explanation and Elaboration paper.","Ferguson JJ, Clarke ED, Stanford J, G\xf3mez-Mart\xedn M, Jakstas T, Collins CE; DID-METAB Delphi Working Group. Diet Item Details: Reporting Checklist for Feeding Studies Measuring the Dietary Metabolome (DID-METAB Checklist) - Explanation and Elaboration Report on the Development of the Checklist by the DID-METAB Delphi Working Group. Adv Nutr. 2025; 16:100420. doi: 10.1016/j.advnut.2025.100420.", , , ,DID-METAB,"The DID-\xadMETAB Checklist can be used for reporting metabolomic data obtained from biospecimens (e.g., saliva, urine, blood, stool) collected within human feeding studies in which the dietary intervention involves any of the following: 1. Provision of a single food; 2. Partial diet provision?only some food/beverages are provided; 3. Whole diet provision?all foods/beverages are provided; 4. Dietary prescription *?nutrition counselling and/or educational material provided to support self-\xad implementation of a dietary intervention.", , , , , , , ,no,2025-06-20 09:21:57,2025-06-20 09:21:57,did-metab-checklist,"[('title', 'DID-METAB Checklist'), ('Reporting guideline provided for?\n\n(i.e. exactly what the authors state in the paper)', 'The DID-\xadMETAB Checklist can be used for reporting metabolomic data obtained from biospecimens (e.g., saliva, urine, blood, stool) collected within human feeding studies in which the dietary intervention involves any of the following: 1. Provision of a single food; 2. Partial diet provision—only some food/beverages are provided; 3. Whole diet provision—all foods/beverages are provided; 4. Dietary prescription \\*—nutrition counselling and/or educational material provided to support self-\xad implementation of a dietary intervention.'), ('Full bibliographic reference', 'Ferguson JJA, Clarke ED, Stanford J, Gómez-Martín M, Jakstas T, Collins CE; DID‐METAB Delphi Working Group Authors. Strengthening the reporting of diet item details in feeding studies measuring the dietary metabolome: The DID-METAB core outcome set statement. Eur J Clin Invest. 2025l; 55:e70030.'), ('Date of publication / Ahead of print date', '2025'), ('Language', 'English'), ('DOI', '10.1111/eci.70030'), ('PubMed ID', '[40189732](https://pubmed.ncbi.nlm.nih.gov/40189732/)'), ('Relevant URLs\n\n(full-text if available)', '[Read the full text](https://onlinelibrary.wiley.com/doi/10.1111/eci.70030) of DID-METAB. The checklist is in Table 1 of the paper.\n\n \n\n Read the full text of the Explanation and Elaboration paper.'), ('Explanation and elaboration papers', 'Ferguson JJ, Clarke ED, Stanford J, Gómez-Martín M, Jakstas T, Collins CE; DID-METAB Delphi Working Group. Diet Item Details: Reporting Checklist for Feeding Studies Measuring the Dietary Metabolome (DID-METAB Checklist) - Explanation and Elaboration Report on the Development of the Checklist by the DID-METAB Delphi Working Group. Adv Nutr. 2025; 16:100420. doi: 10.1016/j.advnut.2025.100420.'), ('Reporting guideline acronym', 'DID-METAB'), ('Study design', 'Observational studies'), ('Clinical area', 'Nutrition and dietetics'), ('Applies to the whole report or to individual sections of the report?', 'Whole report'), ('Record last updated on', 'June 20, 2025')]"
22365,Endo-STAR,"Clinical trials, Experimental studies, Study protocols", ,Protocol-whole report, , , ,"Zywicka EM, Moore AJ, Twine C, Behrendt CA, Bosiers M, Brodmann M, Choke E, deBorst GJ, Diamantopoulos A, Enzmann F, Farber A, Ansel G, Gattuso D, Goh GS, Yann G, Jansen S, Landini M, Lejay A, Lichtenberg M, Menard M, Mezes P, Mills J, Nixon J, Nordanstig J, O'Connell K, Ozdemir B, Patrone L, Puppala S, Saratzis A, Secemsky EA, Sigrid N, Stavroulakis K, Steiner S, Teraa M, Van Herzeele I, Venermo M, Zeller T, Mouton R, Hinchliffe RJ. Endovascular treatment of peripheral arterial disease: Endo-STAR framework for the design, conduct, and reporting of trials. Br J Surg. 2025; 112: 4.","Zywicka EM, Moore AJ, Twine C, Behrendt CA, Bosiers M, Brodmann M, Choke E, deBorst GJ, Diamantopoulos A, Enzmann F, Farber A, Ansel G, Gattuso D, Goh GS, Yann G, Jansen S, Landini M, Lejay A, Lichtenberg M, Menard M, Mezes P, Mills J, Nixon J, Nordanstig J, O'Connell K, Ozdemir B, Patrone L, Puppala S, Saratzis A, Secemsky EA, Sigrid N, Stavroulakis K, Steiner S, Teraa M, Van Herzeele I, Venermo M, Zeller T, Mouton R, Hinchliffe RJ.",Br J Surg,2025,112, ,4,2025,English,10.1093/bjs/znaf020,40241414,https://pubmed.ncbi.nlm.nih.gov/40241414/,"Read the full text of Endo-STAR.

The Endo-STAR checklists can be found on the project website.", , , , , ,Reporting of future clinical trials for infrainguinal endovascular treatments of peripheral arterial disease., , , , , , , ,no,2025-06-20 09:09:33,2025-06-20 09:09:33,endo-star,"[('title', 'Endo -STAR'), ('Reporting guideline provided for?\n\n(i.e. exactly what the authors state in the paper)', 'Reporting of future clinical trials for infrainguinal endovascular treatments of peripheral arterial disease.'), ('Full bibliographic reference', ""Zywicka EM, Moore AJ, Twine C, Behrendt CA, Bosiers M, Brodmann M, Choke E, deBorst GJ, Diamantopoulos A, Enzmann F, Farber A, Ansel G, Gattuso D, Goh GS, Yann G, Jansen S, Landini M, Lejay A, Lichtenberg M, Menard M, Mezes P, Mills J, Nixon J, Nordanstig J, O'Connell K, Ozdemir B, Patrone L, Puppala S, Saratzis A, Secemsky EA, Sigrid N, Stavroulakis K, Steiner S, Teraa M, Van Herzeele I, Venermo M, Zeller T, Mouton R, Hinchliffe RJ. Endovascular treatment of peripheral arterial disease: Endo-STAR framework for the design, conduct, and reporting of trials. Br J Surg. 2025; 112: 4.""), ('Date of publication / Ahead of print date', '2025'), ('Language', 'English'), ('DOI', '10.1093/bjs/znaf020'), ('PubMed ID', '[40241414](https://pubmed.ncbi.nlm.nih.gov/40241414/)'), ('Relevant URLs\n\n(full-text if available)', '[Read the full text](https://academic.oup.com/bjs/article/112/4/znaf020/8114921#supplementary-data) of Endo-STAR.\n\n \n\n The Endo-STAR checklists can be found on the [project website](https://endo-star.com/).'), ('Study design', 'Clinical trials, Experimental studies, Study protocols'), ('Applies to the whole report or to individual sections of the report?', 'Protocol-whole report'), ('Record last updated on', 'June 20, 2025')]"
22363,"Development, Evaluation, and Assessment of Large Language Models (DEAL) Checklist","Artificial intelligence/Machine learning studies, Diagnostic and prognostic studies", ,Whole report, , , ,"Tripathi S, Alkhulaifat D, Doo FX, Rajpurkar P, McBeth R, Daye D, Cook TS. Development, Evaluation, and Assessment of Large Language Models (DEAL) Checklist: A Technical Report. NEJM AI. 2025; 2: 6.","Tripathi S, Alkhulaifat D, Doo FX, Rajpurkar P, McBeth R, Daye D, Cook TS.",NEJM AI,2025,2, ,6,2025,English,10.1056/AIp2401106, , ,"Read the full text of DEAL.

The DEAL checklists can be found in the supplementary material.", , , , ,DEAL,"DEAL-A: Intended for studies involving substantial LLM development, advanced techniques, or comprehensive fine-tuning

DEAL-B: Tailored for more straightforward applications utilizing pretrained LLMs with minimal adjustments or a focus on prompt engineering", , , , , , , ,no,2025-06-20 08:59:41,2025-06-20 08:59:41,development-evaluation-and-assessment-of-large-language-models-deal-checklist,"[('title', 'Development, Evaluation, and Assessment of Large Language Models (DEAL) Checklist'), ('Reporting guideline provided for?\n\n(i.e. exactly what the authors state in the paper)', 'DEAL-A: Intended for studies involving substantial LLM development, advanced techniques, or comprehensive fine-tuning\n\n \n\n DEAL-B: Tailored for more straightforward applications utilizing pretrained LLMs with minimal adjustments or a focus on prompt engineering'), ('Full bibliographic reference', 'Tripathi S, Alkhulaifat D, Doo FX, Rajpurkar P, McBeth R, Daye D, Cook TS. Development, Evaluation, and Assessment of Large Language Models (DEAL) Checklist: A Technical Report. NEJM AI. 2025; 2: 6.'), ('Date of publication / Ahead of print date', '2025'), ('Language', 'English'), ('DOI', '10.1056/AIp2401106'), ('Relevant URLs\n\n(full-text if available)', '[Read the full text](https://ai.nejm.org/doi/full/10.1056/AIp2401106) of DEAL.\n\n \n\n[The DEAL checklists](https://ai.nejm.org/doi/suppl/10.1056/AIp2401106/suppl_file/aip2401106_appendix.pdf) can be found in the supplementary material.'), ('Reporting guideline acronym', 'DEAL'), ('Study design', 'Artificial intelligence/Machine learning studies, Diagnostic and prognostic studies'), ('Applies to the whole report or to individual sections of the report?', 'Whole report'), ('Record last updated on', 'June 20, 2025')]"
22361,"Guidelines for reporting artificial intelligence studies in medicines, pharmacotherapy, and pharmaceutical services: MedinAI development, validation and statement",Artificial intelligence/Machine learning studies, , , , , ,"Bottacin WE, Teles de Souza R, Torelli Reis WC, Carolina Melchiors A. Guidelines for reporting artificial intelligence studies in medicines, pharmacotherapy, and pharmaceutical services: MedinAI development, validation and statement. Int J Clin Pharm. 2025.","Bottacin WE, Teles de Souza R, Torelli Reis WC, Carolina Melchiors A.",Int J Clin Pharm,2025, , , ,2025,English,10.1007/s11096-025-01905-3,40202573,https://pubmed.ncbi.nlm.nih.gov/40202573/,"Read the full text of MedinAI.

The MedinAI checklist is available in the supplementary material.

Read the full text of the Explanation and Elaboration.","Bottacin WE, Teles de Souza R, Torelli Reis WC, Carolina Melchiors A.Explanation and elaboration of MedinAI: guidelines for reporting artificial intelligence studies in medicines, pharmacotherapy, and pharmaceutical services. Int J Clin Pharm. 2025.", , , ,MedinAI,"Reporting AI studies in medicines, pharmacotherapy, and pharmaceutical services", , , , , , , ,no,2025-06-19 08:52:07,2025-06-19 08:52:07,guidelines-for-reporting-artificial-intelligence-studies-in-medicines-pharmacotherapy-and-pharmaceutical-services-medinai-development-validation-and-statement,"[('title', 'Guidelines for reporting artificial intelligence studies in medicines, pharmacotherapy, and pharmaceutical services: Medin AI development, validation and statement'), ('Reporting guideline provided for?\n\n(i.e. exactly what the authors state in the paper)', 'Reporting AI studies in medicines, pharmacotherapy, and pharmaceutical services'), ('Full bibliographic reference', 'Bottacin WE, Teles de Souza R, Torelli Reis WC, Carolina Melchiors A. Guidelines for reporting artificial intelligence studies in medicines, pharmacotherapy, and pharmaceutical services: MedinAI development, validation and statement. Int J Clin Pharm. 2025.'), ('Date of publication / Ahead of print date', '2025'), ('Language', 'English'), ('DOI', '10.1007/s11096-025-01905-3'), ('PubMed ID', '[40202573](https://pubmed.ncbi.nlm.nih.gov/40202573/)'), ('Relevant URLs\n\n(full-text if available)', '[Read the full text](https://link.springer.com/article/10.1007/s11096-025-01905-3) of MedinAI.\n\n \n\n The [MedinAI checklist](https://static-content.springer.com/esm/art%3A10.1007%2Fs11096-025-01905-3/MediaObjects/11096_2025_1905_MOESM2_ESM.docx) is available in the supplementary material.\n\n \n\n[Read the full text](https://link.springer.com/article/10.1007/s11096-025-01906-2) of the Explanation and Elaboration.'), ('Explanation and elaboration papers', 'Bottacin WE, Teles de Souza R, Torelli Reis WC, Carolina Melchiors A.Explanation and elaboration of MedinAI: guidelines for reporting artificial intelligence studies in medicines, pharmacotherapy, and pharmaceutical services. Int J Clin Pharm. 2025.'), ('Reporting guideline acronym', 'MedinAI'), ('Study design', 'Artificial intelligence/Machine learning studies'), ('Record last updated on', 'June 19, 2025')]"
22358,Clinician-informed explainable artificial intelligence evaluation checklist with metrics (CLIX-M) for AI-powered clinical decision support systems,"Artificial intelligence/Machine learning studies, Diagnostic and prognostic studies, Observational studies", ,Whole report, , , ,"Brankovic A, Cook D, Rahman J, Delaforce A, Li J, Magrabi F, Cabitza F, Coiera E, Bradford D. Clinician-informed XAI evaluation checklist with metrics (CLIX-M) for AI-powered clinical decision support systems. NPJ Digital Medicine. 2025; 8: 364.","Brankovic A, Cook D, Rahman J, Delaforce A, Li J, Magrabi F, Cabitza F, Coiera E, Bradford D.",NPJ Digital Medicine,2025,8, ,364, ,English,10.1038/s41746-025-01764-2,40517152,https://pubmed.ncbi.nlm.nih.gov/40517152/,"Read the full text of CLIX-M.

The CLIX-M checklist is available in the supplementary information.", , , , ,CLIX-M,Studies reporting the development and evaluation phases of explainable artificial intelligence (AI) component in AI-powered CDSS development, , , , , , , ,no,2025-06-19 07:36:35,2025-06-19 07:36:35,clinician-informed-explainable-artificial-intelligence-evaluation-checklist-with-metrics-clix-m-for-ai-powered-clinical-decision-support-systems,"[('title', 'Clinician-informed explainable artificial intelligence evaluation checklist with metrics (CLIX-M) for AI-powered clinical decision support systems'), ('Reporting guideline provided for?\n\n(i.e. exactly what the authors state in the paper)', 'Studies reporting the development and evaluation phases of explainable artificial intelligence (AI) component in AI-powered CDSS development'), ('Full bibliographic reference', 'Brankovic A, Cook D, Rahman J, Delaforce A, Li J, Magrabi F, Cabitza F, Coiera E, Bradford D. Clinician-informed XAI evaluation checklist with metrics (CLIX-M) for AI-powered clinical decision support systems. NPJ Digital Medicine. 2025; 8: 364.'), ('Language', 'English'), ('DOI', '10.1038/s41746-025-01764-2'), ('PubMed ID', '[40517152](https://pubmed.ncbi.nlm.nih.gov/40517152/)'), ('Relevant URLs\n\n(full-text if available)', '[Read the full text](https://www.nature.com/articles/s41746-025-01764-2) of CLIX-M.\n\n \n\n The CLIX-M checklist is available in the [supplementary information.](https://static-content.springer.com/esm/art%3A10.1038%2Fs41746-025-01764-2/MediaObjects/41746_2025_1764_MOESM1_ESM.docx)'), ('Reporting guideline acronym', 'CLIX-M'), ('Study design', 'Artificial intelligence/Machine learning studies, Diagnostic and prognostic studies, Observational studies'), ('Applies to the whole report or to individual sections of the report?', 'Whole report'), ('Record last updated on', 'June 19, 2025')]"
